,item_count,bin_capacity,weight_range,instance,bin_count,execution_time
N2C1W4_E.txt,2,1,4,4,83,0.1163000000019565
N2C1W4_F.txt,2,1,4,5,88,0.26819999999361244
N2C1W4_G.txt,2,1,4,6,85,0.11189999997895939
N2C1W4_H.txt,2,1,4,7,86,0.11289999997643463
N2C1W4_I.txt,2,1,4,8,84,0.11419999998452113
N2C1W4_J.txt,2,1,4,9,87,0.11069999999335778
N2C1W4_K.txt,2,1,4,10,84,0.11399999999639476
N2C1W4_L.txt,2,1,4,11,85,0.11319999998704589
N2C1W4_M.txt,2,1,4,12,85,0.11210000002392917
N2C1W4_N.txt,2,1,4,13,85,0.11480000000574364
N2C1W4_O.txt,2,1,4,14,91,0.10770000000093205
N2C1W4_P.txt,2,1,4,15,81,0.10459999998602143
N2C1W4_Q.txt,2,1,4,16,86,0.1049000000534761
N2C1W4_R.txt,2,1,4,17,82,0.10500000001911758
N2C1W4_S.txt,2,1,4,18,89,0.10790000004590183
N2C1W4_T.txt,2,1,4,19,84,0.10610000003907771
N2C2W1_A.txt,2,2,1,0,55,0.09900000003426612
N2C2W1_B.txt,2,2,1,1,63,0.11699999998882049
N2C2W1_C.txt,2,2,1,2,55,0.09969999996428669
N2C2W1_D.txt,2,2,1,3,56,0.10009999999738284
N2C2W1_E.txt,2,2,1,4,54,0.09959999999864522
N2C2W1_F.txt,2,2,1,5,64,0.14430000004495014
N2C2W1_G.txt,2,2,1,6,57,0.10879999996404877
N2C2W1_H.txt,2,2,1,7,59,0.11729999999943175
N2C2W1_I.txt,2,2,1,8,60,0.10770000000093205
N2C2W1_J.txt,2,2,1,9,58,0.11269999998830826
N2C2W1_K.txt,2,2,1,10,55,0.0990999999999076
N2C2W1_L.txt,2,2,1,11,62,0.10069999996176193
N2C2W1_M.txt,2,2,1,12,60,0.10319999995545004
N2C2W1_N.txt,2,2,1,13,58,0.10099999997237319
N2C2W1_O.txt,2,2,1,14,64,0.1080000000115433
N2C2W1_P.txt,2,2,1,15,60,0.10380000003351597
N2C2W1_Q.txt,2,2,1,16,65,0.10090000000673172
N2C2W1_R.txt,2,2,1,17,56,0.09840000001304361
N2C2W1_S.txt,2,2,1,18,60,0.099800000043615
N2C2W1_T.txt,2,2,1,19,51,0.09920000002239249
N2C2W2_A.txt,2,2,2,0,66,0.1002999999855092
N2C2W2_B.txt,2,2,2,1,72,0.10139999994862592
N2C2W2_C.txt,2,2,2,2,70,0.1292000000034932
N2C2W2_D.txt,2,2,2,3,67,0.10070000001860535
N2C2W2_E.txt,2,2,2,4,68,0.1513999999929183
N2C2W2_F.txt,2,2,2,5,63,0.10209999999233332
N2C2W2_G.txt,2,2,2,6,70,0.12070000002495362
N2C2W2_H.txt,2,2,2,7,70,0.10020000001986773
N2C2W2_I.txt,2,2,2,8,67,0.10720000000219443
